State,State_Clean,County,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson2
ALABAMA,ALABAMA,,,,,,,,,,,
ARIZONA - Metropolitan Counties,ARIZONA ,Cochise,47,0,1,3,43,531,195,273,63,5
ARIZONA - Metropolitan Counties,ARIZONA ,Coconino,127,6,17,1,103,264,59,180,25,6
ARIZONA - Metropolitan Counties,ARIZONA ,Mohave,135,3,6,19,107,1983,573,1197,213,13
ARIZONA - Metropolitan Counties,ARIZONA ,Pinal,197,3,5,18,171,1469,321,987,161,
ARIZONA - Metropolitan Counties,ARIZONA ,Yavapai,193,5,0,4,184,860,155,608,97,10
ARIZONA - Metropolitan Counties,ARIZONA ,Yuma,136,7,17,6,106,807,223,502,82,7
ARIZONA - Nonmetropolitan Counties,ARIZONA ,Gila,176,1,3,5,167,384,65,252,67,
ARIZONA - Nonmetropolitan Counties,ARIZONA ,Graham,61,4,0,0,57,104,20,76,8,12
ARIZONA - Nonmetropolitan Counties,ARIZONA ,La Paz,40,1,2,3,34,310,87,181,42,1
ARIZONA - Nonmetropolitan Counties,ARIZONA ,Navajo,43,1,0,5,37,341,192,115,34,5
ARIZONA - Nonmetropolitan Counties,ARIZONA ,Santa Cruz,1,0,0,0,1,117,35,66,16,0
ARKANSAS - Metropolitan Counties,ARKANSAS ,Benton,159,3,32,3,121,,,188,61,1
ARKANSAS - Metropolitan Counties,ARKANSAS ,Cleveland,20,0,4,0,16,162,90,56,16,2
ARKANSAS - Metropolitan Counties,ARKANSAS ,Craighead,48,2,16,1,29,315,108,168,39,3
ARKANSAS - Metropolitan Counties,ARKANSAS ,Crawford,55,1,1,1,52,254,37,188,29,0
ARKANSAS - Metropolitan Counties,ARKANSAS ,Crittenden,123,3,9,8,103,286,83,182,21,1
ARKANSAS - Metropolitan Counties,ARKANSAS ,Faulkner,116,1,18,5,92,749,176,476,97,6
ARKANSAS - Metropolitan Counties,ARKANSAS ,Garland4,279,0,25,8,246,,,675,145,0
ARKANSAS - Metropolitan Counties,ARKANSAS ,Grant,28,0,3,1,24,167,53,86,28,1
ARKANSAS - Metropolitan Counties,ARKANSAS ,Jefferson,78,4,12,2,60,414,110,247,57,7
ARKANSAS - Metropolitan Counties,ARKANSAS ,Lincoln,14,0,7,0,7,40,15,20,5,0
ARKANSAS - Metropolitan Counties,ARKANSAS ,Little River,10,0,1,1,8,93,27,58,8,1
ARKANSAS - Metropolitan Counties,ARKANSAS ,Lonoke,75,1,8,0,66,374,68,220,86,4
ARKANSAS - Metropolitan Counties,ARKANSAS ,Madison,44,1,5,1,37,169,48,99,22,3
ARKANSAS - Metropolitan Counties,ARKANSAS ,Miller,57,0,8,1,48,199,68,113,18,0
ARKANSAS - Metropolitan Counties,ARKANSAS ,Perry,29,0,7,0,22,95,23,72,0,0
ARKANSAS - Metropolitan Counties,ARKANSAS ,Poinsett,42,0,4,0,38,138,60,50,28,0
ARKANSAS - Metropolitan Counties,ARKANSAS ,Pulaski,428,4,31,27,366,1638,353,1123,162,9
ARKANSAS - Metropolitan Counties,ARKANSAS ,Saline,187,7,31,2,147,,,376,81,2
ARKANSAS - Metropolitan Counties,ARKANSAS ,Sebastian,45,0,6,0,39,223,83,127,13,1
ARKANSAS - Metropolitan Counties,ARKANSAS ,Washington,177,5,6,1,165,572,139,346,87,8
ARKANSAS - Nonmetropolitan Counties,ARKANSAS ,Arkansas,15,0,1,1,13,58,14,42,2,1
ARKANSAS - Nonmetropolitan Counties,ARKANSAS ,Ashley,22,0,1,2,19,153,38,98,17,3
ARKANSAS - Nonmetropolitan Counties,ARKANSAS ,Baxter,70,1,15,1,53,616,81,472,63,5
ARKANSAS - Nonmetropolitan Counties,ARKANSAS ,Boone,199,0,30,1,168,269,79,150,40,1
ARKANSAS - Nonmetropolitan Counties,ARKANSAS ,Bradley,8,0,0,0,8,51,31,12,8,0
ARKANSAS - Nonmetropolitan Counties,ARKANSAS ,Calhoun,11,0,0,0,11,68,22,34,12,0
ARKANSAS - Nonmetropolitan Counties,ARKANSAS ,Carroll,45,0,5,1,39,209,52,111,46,1
ARKANSAS - Nonmetropolitan Counties,ARKANSAS ,Chicot,13,0,2,0,11,76,18,58,0,0
ARKANSAS - Nonmetropolitan Counties,ARKANSAS ,Clark,11,0,0,0,11,70,19,42,9,0
ARKANSAS - Nonmetropolitan Counties,ARKANSAS ,Cleburne,142,0,21,4,117,297,86,185,26,6
ARKANSAS - Nonmetropolitan Counties,ARKANSAS ,Columbia,23,1,2,0,20,67,21,37,9,0
ARKANSAS - Nonmetropolitan Counties,ARKANSAS ,Conway,46,2,13,1,30,234,43,164,27,9
ARKANSAS - Nonmetropolitan Counties,ARKANSAS ,Drew,16,0,4,0,12,66,23,37,6,0
ARKANSAS - Nonmetropolitan Counties,ARKANSAS ,Fulton,29,0,3,0,26,51,0,45,6,0
ARKANSAS - Nonmetropolitan Counties,ARKANSAS ,Hempstead,29,0,6,1,22,143,41,75,27,1
ARKANSAS - Nonmetropolitan Counties,ARKANSAS ,Howard,20,0,4,0,16,57,29,25,3,0
ARKANSAS - Nonmetropolitan Counties,ARKANSAS ,Independence,153,1,44,2,106,367,110,209,48,14
ARKANSAS - Nonmetropolitan Counties,ARKANSAS ,Izard,33,0,8,0,25,197,55,130,12,5
ARKANSAS - Nonmetropolitan Counties,ARKANSAS ,Jackson,45,1,6,1,37,119,10,80,29,5
ARKANSAS - Nonmetropolitan Counties,ARKANSAS ,Johnson,40,0,7,0,33,114,47,51,16,2
ARKANSAS - Nonmetropolitan Counties,ARKANSAS ,Lee,13,1,4,0,8,101,26,64,11,1
ARKANSAS - Nonmetropolitan Counties,ARKANSAS ,Logan,36,0,10,0,26,162,35,117,10,6
ARKANSAS - Nonmetropolitan Counties,ARKANSAS ,Marion,32,0,9,0,23,243,80,150,13,0
ARKANSAS - Nonmetropolitan Counties,ARKANSAS ,Mississippi,23,0,3,2,18,247,81,133,33,3
ARKANSAS - Nonmetropolitan Counties,ARKANSAS ,Monroe,1,0,1,0,0,32,3,14,15,1
ARKANSAS - Nonmetropolitan Counties,ARKANSAS ,Pike,10,0,3,0,7,73,22,49,2,1
ARKANSAS - Nonmetropolitan Counties,ARKANSAS ,Pope,91,2,15,1,73,309,102,163,44,4
