STATE FIPS,COUNTY FIPS,STATE/TERRITORY NAME,COUNTY NAME,NAME,name_state, 2010 POPULATION , 2015 POPULATION , LAND AREA (Sqare Miles) 
01,001,Alabama,Autauga County,Autauga,Autauga Alabama," 54,571 "," 55,347 ", 594.436 
01,003,Alabama,Baldwin County,Baldwin,Baldwin Alabama," 182,265 "," 203,709 "," 1,589.784 "
01,005,Alabama,Barbour County,Barbour,Barbour Alabama," 27,457 "," 26,489 ", 884.876 
01,007,Alabama,Bibb County,Bibb,Bibb Alabama," 22,915 "," 22,583 ", 622.582 
01,009,Alabama,Blount County,Blount,Blount Alabama," 57,322 "," 57,673 ", 644.776 
01,011,Alabama,Bullock County,Bullock,Bullock Alabama," 10,914 "," 10,696 ", 622.805 
01,013,Alabama,Butler County,Butler,Butler Alabama," 20,947 "," 20,154 ", 776.829 
01,015,Alabama,Calhoun County,Calhoun,Calhoun Alabama," 118,572 "," 115,620 ", 605.868 
01,017,Alabama,Chambers County,Chambers,Chambers Alabama," 34,215 "," 34,123 ", 596.531 
01,019,Alabama,Cherokee County,Cherokee,Cherokee Alabama," 25,989 "," 25,859 ", 553.700 
01,021,Alabama,Chilton County,Chilton,Chilton Alabama," 43,643 "," 43,943 ", 692.854 
01,023,Alabama,Choctaw County,Choctaw,Choctaw Alabama," 13,859 "," 13,170 ", 913.500 
01,025,Alabama,Clarke County,Clarke,Clarke Alabama," 25,833 "," 24,675 "," 1,238.465 "
01,027,Alabama,Clay County,Clay,Clay Alabama," 13,932 "," 13,555 ", 603.961 
01,029,Alabama,Cleburne County,Cleburne,Cleburne Alabama," 14,972 "," 15,018 ", 560.100 
01,031,Alabama,Coffee County,Coffee,Coffee Alabama," 49,948 "," 51,211 ", 678.972 
01,033,Alabama,Colbert County,Colbert,Colbert Alabama," 54,428 "," 54,354 ", 592.619 
01,035,Alabama,Conecuh County,Conecuh,Conecuh Alabama," 13,228 "," 12,672 ", 850.156 
01,037,Alabama,Coosa County,Coosa,Coosa Alabama," 11,539 "," 10,724 ", 650.926 
01,039,Alabama,Covington County,Covington,Covington Alabama," 37,765 "," 37,835 "," 1,030.456 "
01,041,Alabama,Crenshaw County,Crenshaw,Crenshaw Alabama," 13,906 "," 13,963 ", 608.840 
01,043,Alabama,Cullman County,Cullman,Cullman Alabama," 80,406 "," 82,005 ", 734.841 
01,045,Alabama,Dale County,Dale,Dale Alabama," 50,251 "," 49,565 ", 561.150 
01,047,Alabama,Dallas County,Dallas,Dallas Alabama," 43,820 "," 41,131 ", 978.695 
01,049,Alabama,DeKalb County,DeKalb,DeKalb Alabama," 71,109 "," 71,130 ", 777.093 
01,051,Alabama,Elmore County,Elmore,Elmore Alabama," 79,303 "," 81,468 ", 618.485 
01,053,Alabama,Escambia County,Escambia,Escambia Alabama," 38,319 "," 37,789 ", 945.080 
01,055,Alabama,Etowah County,Etowah,Etowah Alabama," 104,430 "," 103,057 ", 534.991 
01,057,Alabama,Fayette County,Fayette,Fayette Alabama," 17,241 "," 16,759 ", 627.660 
01,059,Alabama,Franklin County,Franklin,Franklin Alabama," 31,704 "," 31,696 ", 633.821 
01,061,Alabama,Geneva County,Geneva,Geneva Alabama," 26,790 "," 26,777 ", 574.408 
01,063,Alabama,Greene County,Greene,Greene Alabama," 9,045 "," 8,479 ", 647.110 
01,065,Alabama,Hale County,Hale,Hale Alabama," 15,760 "," 15,068 ", 643.943 
01,067,Alabama,Henry County,Henry,Henry Alabama," 17,302 "," 17,221 ", 561.750 
01,069,Alabama,Houston County,Houston,Houston Alabama," 101,547 "," 104,173 ", 579.824 
01,071,Alabama,Jackson County,Jackson,Jackson Alabama," 53,227 "," 52,419 "," 1,077.868 "
01,073,Alabama,Jefferson County,Jefferson,Jefferson Alabama," 658,466 "," 660,367 "," 1,111.276 "
01,075,Alabama,Lamar County,Lamar,Lamar Alabama," 14,564 "," 13,886 ", 604.846 
01,077,Alabama,Lauderdale County,Lauderdale,Lauderdale Alabama," 92,709 "," 92,596 ", 667.697 
01,079,Alabama,Lawrence County,Lawrence,Lawrence Alabama," 34,339 "," 33,115 ", 690.678 
01,081,Alabama,Lee County,Lee,Lee Alabama," 140,247 "," 156,993 ", 607.536 
01,083,Alabama,Limestone County,Limestone,Limestone Alabama," 82,782 "," 91,663 ", 559.936 
01,085,Alabama,Lowndes County,Lowndes,Lowndes Alabama," 11,299 "," 10,458 ", 715.911 
01,087,Alabama,Macon County,Macon,Macon Alabama," 21,452 "," 19,105 ", 608.885 
01,089,Alabama,Madison County,Madison,Madison Alabama," 334,811 "," 353,089 ", 801.593 
01,091,Alabama,Marengo County,Marengo,Marengo Alabama," 21,027 "," 20,028 ", 976.882 
01,093,Alabama,Marion County,Marion,Marion Alabama," 30,776 "," 30,168 ", 742.292 
01,095,Alabama,Marshall County,Marshall,Marshall Alabama," 93,019 "," 94,725 ", 565.842 
01,097,Alabama,Mobile County,Mobile,Mobile Alabama," 412,992 "," 415,395 "," 1,229.435 "
01,099,Alabama,Monroe County,Monroe,Monroe Alabama," 23,068 "," 21,673 "," 1,025.675 "
01,101,Alabama,Montgomery County,Montgomery,Montgomery Alabama," 229,363 "," 226,519 ", 784.247 
01,103,Alabama,Morgan County,Morgan,Morgan Alabama," 119,490 "," 119,565 ", 579.337 
01,105,Alabama,Perry County,Perry,Perry Alabama," 10,591 "," 9,652 ", 719.664 
01,107,Alabama,Pickens County,Pickens,Pickens Alabama," 19,746 "," 20,864 ", 881.408 
01,109,Alabama,Pike County,Pike,Pike Alabama," 32,899 "," 33,046 ", 672.094 
01,111,Alabama,Randolph County,Randolph,Randolph Alabama," 22,913 "," 22,696 ", 580.550 
01,113,Alabama,Russell County,Russell,Russell Alabama," 52,947 "," 59,660 ", 641.140 
01,115,Alabama,St. Clair County,St. Clair,St. Clair Alabama," 83,593 "," 87,074 ", 631.902 
01,117,Alabama,Shelby County,Shelby,Shelby Alabama," 195,085 "," 208,713 ", 784.930 
01,119,Alabama,Sumter County,Sumter,Sumter Alabama," 13,763 "," 13,103 ", 903.887 
01,121,Alabama,Talladega County,Talladega,Talladega Alabama," 82,291 "," 80,862 ", 736.775 
01,123,Alabama,Tallapoosa County,Tallapoosa,Tallapoosa Alabama," 41,616 "," 40,844 ", 716.521 
01,125,Alabama,Tuscaloosa County,Tuscaloosa,Tuscaloosa Alabama," 194,656 "," 203,976 "," 1,321.755 "
01,127,Alabama,Walker County,Walker,Walker Alabama," 67,023 "," 65,294 ", 791.192 
01,129,Alabama,Washington County,Washington,Washington Alabama," 17,581 "," 16,804 "," 1,080.207 "
01,131,Alabama,Wilcox County,Wilcox,Wilcox Alabama," 11,670 "," 11,059 ", 888.498 
01,133,Alabama,Winston County,Winston,Winston Alabama," 24,484 "," 23,877 ", 612.979 
02,013,Alaska,Aleutians East Borough,Aleutians East,Aleutians East Alaska," 3,141 "," 3,341 "," 6,981.943 "
02,016,Alaska,Aleutians West Census Area,Aleutians West Census,Aleutians West Census Alaska," 5,561 "," 5,702 "," 4,390.276 "
02,020,Alaska,Anchorage Municipality,Anchorage,Anchorage Alaska," 291,826 "," 298,695 "," 1,704.683 "
02,050,Alaska,Bethel Census Area,Bethel Census,Bethel Census Alaska," 17,013 "," 17,946 "," 40,570.004 "
02,060,Alaska,Bristol Bay Borough,Bristol Bay,Bristol Bay Alaska, 997 , 892 , 503.843 
02,068,Alaska,Denali Borough,Denali,Denali Alaska," 1,826 "," 1,919 "," 12,751.411 "
02,070,Alaska,Dillingham Census Area,Dillingham Census,Dillingham Census Alaska," 4,847 "," 4,997 "," 18,568.778 "
02,090,Alaska,Fairbanks North Star Borough,Fairbanks North Star,Fairbanks North Star Alaska," 97,581 "," 99,631 "," 7,338.209 "
02,100,Alaska,Haines Borough,Haines,Haines Alaska," 2,508 "," 2,534 "," 2,318.600 "
02,105,Alaska,Hoonah-Angoon Census Area,Hoonah-Angoon Census,Hoonah-Angoon Census Alaska," 2,150 "," 2,133 "," 7,524.915 "
02,110,Alaska,Juneau City and Borough,Juneau City and,Juneau City and Alaska," 31,275 "," 32,756 "," 2,701.931 "
02,122,Alaska,Kenai Peninsula Borough,Kenai Peninsula,Kenai Peninsula Alaska," 55,400 "," 58,059 "," 16,075.331 "
02,130,Alaska,Ketchikan Gateway Borough,Ketchikan Gateway,Ketchikan Gateway Alaska," 13,477 "," 13,709 "," 4,858.414 "
02,150,Alaska,Kodiak Island Borough,Kodiak Island,Kodiak Island Alaska," 13,592 "," 13,889 "," 6,549.579 "
02,164,Alaska,Lake and Peninsula Borough,Lake and Peninsula,Lake and Peninsula Alaska," 1,631 "," 1,563 "," 23,652.009 "
02,170,Alaska,Matanuska-Susitna Borough,Matanuska-Susitna,Matanuska-Susitna Alaska," 88,995 "," 101,095 "," 24,607.898 "
02,180,Alaska,Nome Census Area,Nome Census,Nome Census Alaska," 9,492 "," 9,846 "," 22,961.761 "
02,185,Alaska,North Slope Borough,North Slope,North Slope Alaska," 9,430 "," 9,687 "," 88,695.413 "
02,188,Alaska,Northwest Arctic Borough,Northwest Arctic,Northwest Arctic Alaska," 7,523 "," 7,752 "," 35,572.584 "
02,195,Alaska,Petersburg Census Area,Petersburg Census,Petersburg Census Alaska," 3,815 "," 3,177 "," 3,281.982 "
02,198,Alaska,Prince of Wales-Hyder Census Area,Prince of Wales-Hyder Census,Prince of Wales-Hyder Census Alaska," 5,559 "," 6,341 "," 3,922.873 "
02,220,Alaska,Sitka City and Borough,Sitka City and,Sitka City and Alaska," 8,881 "," 8,863 "," 2,870.339 "
02,230,Alaska,Skagway Municipality,Skagway,Skagway Alaska, 968 ," 1,057 ", 452.325 
02,240,Alaska,Southeast Fairbanks Census Area,Southeast Fairbanks Census,Southeast Fairbanks Census Alaska," 7,029 "," 6,839 "," 24,768.808 "
02,261,Alaska,Valdez-Cordova Census Area,Valdez-Cordova Census,Valdez-Cordova Census Alaska," 9,636 "," 9,362 "," 34,239.880 "
02,270,Alaska,Wade Hampton Census Area,Wade Hampton Census,Wade Hampton Census Alaska," 7,459 ",," 17,081.433 "
02,275,Alaska,Wrangell City and Borough,Wrangell City and,Wrangell City and Alaska," 2,369 "," 2,382 "," 2,541.483 "
02,282,Alaska,Yakutat City and Borough,Yakutat City and,Yakutat City and Alaska, 662 , 613 ," 7,649.457 "
02,290,Alaska,Yukon-Koyukuk Census Area,Yukon-Koyukuk Census,Yukon-Koyukuk Census Alaska," 5,588 "," 5,533 "," 145,504.789 "
04,001,Arizona,Apache County,Apache,Apache Arizona," 71,518 "," 71,474 "," 11,197.521 "
04,003,Arizona,Cochise County,Cochise,Cochise Arizona," 131,346 "," 126,427 "," 6,165.690 "
04,005,Arizona,Coconino County,Coconino,Coconino Arizona," 134,421 "," 139,097 "," 18,618.885 "
04,007,Arizona,Gila County,Gila,Gila Arizona," 53,597 "," 53,159 "," 4,757.933 "
04,009,Arizona,Graham County,Graham,Graham Arizona," 37,220 "," 37,666 "," 4,622.597 "
04,011,Arizona,Greenlee County,Greenlee,Greenlee Arizona," 8,437 "," 9,529 "," 1,843.126 "
04,012,Arizona,La Paz County,La Paz,La Paz Arizona," 20,489 "," 20,152 "," 4,499.629 "
04,013,Arizona,Maricopa County,Maricopa,Maricopa Arizona," 3,817,117 "," 4,167,947 "," 9,200.143 "
04,015,Arizona,Mohave County,Mohave,Mohave Arizona," 200,186 "," 204,737 "," 13,311.084 "
04,017,Arizona,Navajo County,Navajo,Navajo Arizona," 107,449 "," 108,277 "," 9,950.422 "
04,019,Arizona,Pima County,Pima,Pima Arizona," 980,263 "," 1,010,025 "," 9,187.036 "
04,021,Arizona,Pinal County,Pinal,Pinal Arizona," 375,770 "," 406,584 "," 5,365.612 "
04,023,Arizona,Santa Cruz County,Santa Cruz,Santa Cruz Arizona," 47,420 "," 46,461 "," 1,236.916 "
04,025,Arizona,Yavapai County,Yavapai,Yavapai Arizona," 211,033 "," 222,255 "," 8,123.499 "
04,027,Arizona,Yuma County,Yuma,Yuma Arizona," 195,751 "," 204,275 "," 5,513.992 "
05,001,Arkansas,Arkansas County,Arkansas,Arkansas Arkansas," 19,019 "," 18,433 ", 988.770 
05,003,Arkansas,Ashley County,Ashley,Ashley Arkansas," 21,853 "," 20,838 ", 925.349 
05,005,Arkansas,Baxter County,Baxter,Baxter Arkansas," 41,513 "," 41,053 ", 554.283 
05,007,Arkansas,Benton County,Benton,Benton Arkansas," 221,339 "," 249,672 ", 847.357 
05,009,Arkansas,Boone County,Boone,Boone Arkansas," 36,903 "," 37,222 ", 590.231 
05,011,Arkansas,Bradley County,Bradley,Bradley Arkansas," 11,508 "," 11,094 ", 649.231 
05,013,Arkansas,Calhoun County,Calhoun,Calhoun Arkansas," 5,368 "," 5,229 ", 628.581 
05,015,Arkansas,Carroll County,Carroll,Carroll Arkansas," 27,446 "," 27,704 ", 630.087 
05,017,Arkansas,Chicot County,Chicot,Chicot Arkansas," 11,800 "," 11,027 ", 644.304 
05,019,Arkansas,Clark County,Clark,Clark Arkansas," 22,995 "," 22,633 ", 866.074 
05,021,Arkansas,Clay County,Clay,Clay Arkansas," 16,083 "," 15,109 ", 639.465 
05,023,Arkansas,Cleburne County,Cleburne,Cleburne Arkansas," 25,970 "," 25,467 ", 553.692 
05,025,Arkansas,Cleveland County,Cleveland,Cleveland Arkansas," 8,689 "," 8,311 ", 597.783 
05,027,Arkansas,Columbia County,Columbia,Columbia Arkansas," 24,552 "," 24,114 ", 766.053 
05,029,Arkansas,Conway County,Conway,Conway Arkansas," 21,273 "," 21,019 ", 552.250 
05,031,Arkansas,Craighead County,Craighead,Craighead Arkansas," 96,443 "," 104,354 ", 707.206 
05,033,Arkansas,Crawford County,Crawford,Crawford Arkansas," 61,948 "," 61,703 ", 593.094 
05,035,Arkansas,Crittenden County,Crittenden,Crittenden Arkansas," 50,902 "," 48,963 ", 609.760 
05,037,Arkansas,Cross County,Cross,Cross Arkansas," 17,870 "," 17,284 ", 616.381 
05,039,Arkansas,Dallas County,Dallas,Dallas Arkansas," 8,116 "," 7,604 ", 667.386 
05,041,Arkansas,Desha County,Desha,Desha Arkansas," 13,008 "," 11,965 ", 768.152 
05,043,Arkansas,Drew County,Drew,Drew Arkansas," 18,509 "," 18,778 ", 828.356 
05,045,Arkansas,Faulkner County,Faulkner,Faulkner Arkansas," 113,237 "," 121,552 ", 647.884 
05,047,Arkansas,Franklin County,Franklin,Franklin Arkansas," 18,125 "," 17,702 ", 608.857 
05,049,Arkansas,Fulton County,Fulton,Fulton Arkansas," 12,245 "," 12,204 ", 618.194 
05,051,Arkansas,Garland County,Garland,Garland Arkansas," 96,024 "," 97,177 ", 677.781 
05,053,Arkansas,Grant County,Grant,Grant Arkansas," 17,853 "," 18,102 ", 631.809 
05,055,Arkansas,Greene County,Greene,Greene Arkansas," 42,090 "," 44,196 ", 577.699 
05,057,Arkansas,Hempstead County,Hempstead,Hempstead Arkansas," 22,609 "," 22,084 ", 727.520 
05,059,Arkansas,Hot Spring County,Hot Spring,Hot Spring Arkansas," 32,923 "," 33,426 ", 615.202 
05,061,Arkansas,Howard County,Howard,Howard Arkansas," 13,789 "," 13,300 ", 588.554 
05,063,Arkansas,Independence County,Independence,Independence Arkansas," 36,647 "," 37,052 ", 763.953 
